encoding,backend,pearson_mean,pearson_std,spearman_mean,spearman_std,rmse_mean,rmse_std
NPM,xgb,0.5965,0.1889,0.1152,0.0982,99.3386,120.8512
OneHot,xgb,0.5257,0.2531,0.0885,0.0829,103.4213,124.108
OneHot5Channel,xgb,0.5465,0.25,0.0939,0.0874,103.4519,124.0284
LabelEncodingPairwise,xgb,0.4843,0.2647,0.0909,0.0896,101.5951,123.5065
OneHotVstack,xgb,0.5023,0.2576,0.0808,0.0796,103.7466,124.5214
MM,xgb,0.3151,0.1157,0.0987,0.0681,133.1103,114.3264
kmer,xgb,0.3151,0.1157,0.0987,0.0681,133.1103,114.3264
bulges,xgb,0.6018,0.1973,0.115,0.0982,99.6315,121.446
NPM,catboost,0.6352,0.1761,0.1199,0.1019,102.6668,129.2214
OneHot,catboost,0.5736,0.1839,0.1151,0.0977,103.7603,124.8291
OneHot5Channel,catboost,0.6168,0.2072,0.1162,0.0979,102.4487,124.3166
LabelEncodingPairwise,catboost,0.5724,0.1677,0.1178,0.0995,100.379,121.9303
OneHotVstack,catboost,0.5938,0.1969,0.1157,0.0978,103.0158,124.2819
MM,catboost,0.3608,0.1238,0.1056,0.0786,123.9994,115.2349
kmer,catboost,0.362,0.1244,0.1054,0.0775,123.5493,113.2265
bulges,catboost,0.6364,0.1798,0.1198,0.1018,99.8496,121.4808
NPM,decision_tree,0.0145,0.0539,0.0202,0.0638,117.5808,126.0975
OneHot,decision_tree,0.038,0.0718,0.0371,0.0668,117.0202,125.842
OneHot5Channel,decision_tree,0.0022,0.0417,0.0032,0.0494,118.9113,122.6286
LabelEncodingPairwise,decision_tree,0.0881,0.0495,0.1315,0.0683,136.4165,109.796
OneHotVstack,decision_tree,0.0169,0.0378,0.0282,0.0509,120.9493,122.1435
MM,decision_tree,0.0311,0.0431,0.0522,0.0579,124.0574,117.6236
kmer,decision_tree,0.0257,0.0574,0.0265,0.0578,124.234,117.9757
bulges,decision_tree,0.0304,0.0791,0.0345,0.0547,117.0569,122.6455
